display_name,language_code,primary_type,latitude,longitude,rating,user_ratings_total
El Rinconcillo,en,restaurant,37.3933873,-5.988364,4.3,11913
La Carbonería,en,restaurant,37.3878731,-5.987113099999999,4.3,6503
Bar Santa Cruz “Las Columnas”,en,bar,37.386019999999995,-5.990761399999999,4.5,12887
Bar El Comercio,es,bar,37.390779599999995,-5.992376,4.4,5436
Casa Ricardo antigua Casa Ovidio,en,bar,37.3975793,-5.995888,4.5,5112
Bodeguita Antonio Romero Origen,es,bar,37.3856835,-5.9972750999999995,4.3,3452
La Bernarda,es,restaurant,37.384359,-5.984343,4.3,5961
El Librero Tapas Y Quesos,en,spanish_restaurant,37.3856973,-5.9902799,4.6,3474
Bar Casa Morales,es,bar,37.3864703,-5.9946075,4.4,5596
Espacio Eslava,en,restaurant,37.397491099999996,-5.9969382,4.7,6669
Bodeguita Romero,es,bar,37.387083,-5.99567,4.3,1871
Mercado Lonja del Barranco,en,restaurant,37.387613699999996,-6.0021578,4.1,12222
McDonald's,en,fast_food_restaurant,37.3925273,-5.9950689,3.6,3480
La Mala Brunch Rivero,en,brunch_restaurant,37.391433,-5.9941528,4.6,2326
Pelayo Bar,es,bar,37.387070099999995,-5.9924257999999995,4.3,7086
El Pintón,es,restaurant,37.3879626,-5.9927798,4.2,5174
Bar Dos de Mayo,es,bar,37.3951446,-5.997122,4.5,7467
La Brunilda Tapas,es,bar,37.3883556,-5.9994499999999995,4.5,4278
La Bartola,en,bar,37.3868783,-5.9880008,4.6,4244
Los Coloniales,en,bar,37.3915813,-5.989494100000001,4.4,5944
